,text_lemma
65,bamcshane123 Ah youd give team call 0800 152 2888 MonFri 9am6pm amp Sat 9am5pm check Axe2x80xa6 httpstcouYfwkCfzen
66,bJWP_media_group dont access take minute set Just pop across toxe2x80xa6 httpstcos9FP8OdzyY
67,bJWP_media_group Sorry reply Do access MyBarclaycard service onlixe2x80xa6 httpstcon4SJMV9O0O
68,bMarkEldridge3 Mark Sorry Did manage speak someone Brendan httpstcomPqb4etrYV
69,b_weddingbelle Sorry get Did manage speak someone Just send mexe2x80xa6 httpstcoLO2Rf6YmVl
70,bNicole_A_Banks Sorry get Nicole manage speak someone send usxe2x80xa6 httpstcoUAfmeTbfn3
71,bCFO19851 You also dispute transaction online right herexe2x80xa6 httpstcoYrQizfMLxw
72,bGC20002000 Glen ever long hold time get Drop stillxe2x80xa6 httpstco6u2EvgG4uK
73,bTommyLowe1000 Thomas Sorry Did manage speak anyone tell littlexe2x80xa6 httpstcolZIGx7LGlb
74,bSamJOpus Sam wait Did manage speak anyone tell exactly whatxe2x80xa6 httpstcodxYb6JDf5c
75,bTheOlDavenport Oliver access website able view PIN notxe2x80xa6 httpstcotgXl52Oa8f
76,bJanakD Jd You request transfer credit balance back bank accoxe2x80xa6 httpstcoU0eI5YmhDM
77,bemilyoflanagan Ahh okay hear back soon payment holiday Emily xf0x9fx98x8a Dean
78,bMiss_Masaya There Did manage speak someone Brendan
79,bNAZIR_A_NAJI Ive reply Nazir character work Brendan
80,bjohnclunge John reply message Brendan
81,bPoppy_Birdx Sorry wait Did manage speak anyone tell little morxe2x80xa6 httpstcoGP6SdOxr4g
82,bbishopfactory 22 Ill see help Brendan 22 httpstcomPqb4etrYV
83,bbishopfactory Max Sorry We dont think acceptable due few staff high numbxe2x80xa6 httpstcoU6dvGuDMSi
84,bcarinamac72 Carina So Did get didnt feel free pop andxe2x80xa6 httpstcoZHD0oDOH3o
85,bjoeferrett Joe want pop hit button well see xf0x9fx91x8c Cheers Bxe2x80xa6 httpstcoqSAfJQ25uV
86,bMissJRozay Sorry hold Did manage speak team head buttoxe2x80xa6 httpstcoh9QmOwTspW
87,bLamb2ja You James Stay safe Brendan
88,bGeekDad412 Sorry Adam Barclaycard UK It best keep try AskBarclaysUS Monday Fridxe2x80xa6 httpstco1YqNe96DLB
89,bemilyoflanagan Were charge customer late payment fee moment Emily able pay Dean
90,bShauniMcTaggart Were deal many dispute moment take little bit longer usualxe2x80xa6 httpstcoxSI8PvfsNQ
91,bLoiner84 Hey Elizabeth Id like try help Please pop get sort stopxe2x80xa6 httpstcolwXADl4SSR
92,bjohnkennedy44 Thatxe2x80x99s really odd John Do log email app try desk top vxe2x80xa6 httpstcopCwYHPlXPU
93,blovellylovell Emma thank patience moment little busy right amxe2x80xa6 httpstcooqr8zJBZRH
94,btottenhosen Kris noticed tweet like see help Can let know paidxe2x80xa6 httpstco4xTq9JiCKq
95,balrobjack Alex reply wait speak phone Do know youxe2x80xa6 httpstcoFHkZh1xkt0
96,bLianne2024 Lianne really wait speak reply Can Dxe2x80xa6 httpstcoAiUWgpPMyJ
97,bKateR_x Hello send form back post Ross
98,b_C1Amy Hey Amy hear youre issue online whats go try Feel free poxe2x80xa6 httpstcohVmG4tel3I
99,bJamesCooper_94 really The secure message service time 5 minute clixe2x80xa6 httpstcoIM7e0Mg5AA
100,bgaryslatter45 Gary hear victim fraud Glad hear able sort Kev
101,bLelecardus Leah reply wait speak phone Did manaxe2x80xa6 httpstcoITHBF9YJwW
102,bmummalozza Hey thanks reach Lozza hear loss want everything canxe2x80xa6 httpstcoYSKn8jq2ni
103,bBeth65130001 Beth apologies Ive respond tweet Kev
104,bEvieAskew42 Hey Evie thanks get touch This certainly case utmost suxe2x80xa6 httpstcogObKNDthAQ
105,bFiestaman87 Could let know annual pas work Is September July could ask whatxe2x80xa6 httpstcoKQuYo560e6
